Output for logistic map f(x)=ax(1-x) with a=3.4494 and x0=0.1
Supressing the first 1000 iterations


iteration	value
1000		0.851289
1001		0.436680
1002		0.848520
1003		0.443364
1004		0.851286
1005		0.436688
1006		0.848524
1007		0.443356
1008		0.851282
1009		0.436696
1010		0.848527
1011		0.443348
1012		0.851279
1013		0.436704
1014		0.848530
1015		0.443340
1016		0.851276
1017		0.436712
1018		0.848534
1019		0.443331
1020		0.851273
1021		0.436720
1022		0.848537
1023		0.443323
1024		0.851270
1025		0.436727
1026		0.848541
1027		0.443315
1028		0.851266
1029		0.436735
1030		0.848544
1031		0.443307
1032		0.851263
1033		0.436743
1034		0.848547
1035		0.443299
1036		0.851260
1037		0.436750
1038		0.848551
1039		0.443291
1040		0.851257
1041		0.436758
1042		0.848554
1043		0.443283
1044		0.851254
1045		0.436765
1046		0.848557
1047		0.443275
1048		0.851251
1049		0.436773
1050		0.848560
1051		0.443267
1052		0.851248
1053		0.436780
1054		0.848564
1055		0.443260
1056		0.851245
1057		0.436788
1058		0.848567
1059		0.443252
1060		0.851242
1061		0.436795
1062		0.848570
1063		0.443244
1064		0.851239
1065		0.436802
1066		0.848573
1067		0.443236
1068		0.851236
1069		0.436810
1070		0.848576
1071		0.443229
1072		0.851233
1073		0.436817
1074		0.848580
1075		0.443221
1076		0.851230
1077		0.436824
1078		0.848583
1079		0.443214
1080		0.851227
1081		0.436831
1082		0.848586
1083		0.443206
1084		0.851224
1085		0.436838
1086		0.848589
1087		0.443199
1088		0.851221
1089		0.436846
1090		0.848592
1091		0.443191
1092		0.851218
1093		0.436853
1094		0.848595
1095		0.443184
1096		0.851215
1097		0.436860
1098		0.848598
1099		0.443176
1100		0.851212
