Output for logistic map f(x)=ax(1-x) with a=1.01 and x0=0.0001
Supressing the first 1000 iterations


iteration	value
1000		0.009857
1001		0.009858
1002		0.009858
1003		0.009859
1004		0.009859
1005		0.009859
1006		0.009860
1007		0.009860
1008		0.009861
1009		0.009861
1010		0.009861
1011		0.009862
1012		0.009862
1013		0.009863
1014		0.009863
1015		0.009863
1016		0.009864
1017		0.009864
1018		0.009865
1019		0.009865
1020		0.009865
1021		0.009866
1022		0.009866
1023		0.009866
1024		0.009867
1025		0.009867
1026		0.009867
1027		0.009868
1028		0.009868
1029		0.009868
1030		0.009869
1031		0.009869
1032		0.009869
1033		0.009870
1034		0.009870
1035		0.009870
1036		0.009871
1037		0.009871
1038		0.009871
1039		0.009871
1040		0.009872
1041		0.009872
1042		0.009872
1043		0.009873
1044		0.009873
1045		0.009873
1046		0.009873
1047		0.009874
1048		0.009874
1049		0.009874
1050		0.009875
1051		0.009875
1052		0.009875
1053		0.009875
1054		0.009876
1055		0.009876
1056		0.009876
1057		0.009876
1058		0.009877
1059		0.009877
1060		0.009877
1061		0.009877
1062		0.009878
1063		0.009878
1064		0.009878
1065		0.009878
1066		0.009878
1067		0.009879
1068		0.009879
1069		0.009879
1070		0.009879
1071		0.009880
1072		0.009880
1073		0.009880
1074		0.009880
1075		0.009880
1076		0.009881
1077		0.009881
1078		0.009881
1079		0.009881
1080		0.009881
1081		0.009882
1082		0.009882
1083		0.009882
1084		0.009882
1085		0.009882
1086		0.009883
1087		0.009883
1088		0.009883
1089		0.009883
1090		0.009883
1091		0.009883
1092		0.009884
1093		0.009884
1094		0.009884
1095		0.009884
1096		0.009884
1097		0.009884
1098		0.009885
1099		0.009885
1100		0.009885
