deviations of position from closure with epsilon=0.5
step size	Euler	RK2	RK4
0.0001		-6.982e-05	-1.72e-13	-8.105e-15
0.0002		-0.0001396	-1.401e-12	-1.11e-15
0.0004		-0.0002793	-1.116e-11	4.441e-16
0.0008		-0.0005587	-8.931e-11	-1.332e-15
0.0016		-0.001118	-7.141e-10	-7.772e-16
0.0032		-0.002239	-5.708e-09	2.776e-15
0.0064		-0.004484	-4.556e-08	1.04e-13
0.0128		-0.008997	-3.628e-07	3.332e-12
0.0256		-0.01816	-2.884e-06	1.069e-10
0.0512		-0.03671	-2.264e-05	3.418e-09
0.1024		-0.07572	-0.0001764	1.103e-07
0.2048		-0.1522	-0.001303	3.512e-06
0.4096		-0.2958	-0.009442	0.000115
0.8192		-0.3319	-0.06078	0.003456
1.638		-0.8918	-0.4367	0.08172
